dev_box,dev_heat,dev_battery,dev_pv,dev_hems,acc_pre,part_pre_real,part_pre_hypo,control_heat,control_ev,control_pv,control_batt,flex_batt,flex_ev,flex_pv,flex_heat,fin_form,fin_structure,fin_amount_year,fin_amount_year_other,fin_amount_certainty,config_depth,config_override,config_device,auto_trust,auto_trust_info_demand,info_content_1,info_content_2,info_content_3,info_content_4,info_content_5,info_content_6,info_content_98,info_content_99,info_form_1,info_form_2,info_form_3,info_form_4,info_form_98,info_form_99,info_trust,motive,motive_other,acc_post,part_post_real,part_post_hypo,alter,pers,eink,strom_rechnung,bild,geschl,wohn,wohnort
3,3,3,3,3,5,NA,5,2,1,1,1,4,2,5,NA,1,2,6,NA,4,3,2,4,4,4,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,3,NA,5,NA,5,1,3,3,2,5,1,1,3
4,4,3,3,3,2,NA,1,2,2,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,0,4,0,1,5,1,1,1,1,2,2,2,2,2,1,1,1,2,2,3,4,NA,1,NA,1,4,6,5,4,6,2,1,99
3,4,4,4,4,1,NA,2,1,1,1,1,2,2,3,3,1,2,4,NA,4,3,3,3,4,3,1,1,1,1,1,2,2,2,1,1,1,1,2,2,3,3,NA,4,NA,4,2,1,99,98,7,1,4,3
1,4,4,3,4,4,3,NA,2,2,1,1,3,NA,3,NA,2,3,10,NA,4,3,4,4,3,5,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,4,NA,4,4,NA,1,4,99,99,5,2,99,3
1,1,1,1,1,5,5,NA,1,1,1,1,2,4,2,4,1,2,4,NA,2,2,4,2,4,3,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,NA,4,2,NA,2,4,4,4,7,1,1,99
4,4,4,4,4,2,NA,2,1,2,1,1,4,NA,1,2,1,1,4,NA,3,3,4,4,3,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,NA,2,NA,3,5,1,3,1,6,1,4,NA
4,4,4,4,4,4,NA,4,2,1,2,1,3,2,NA,NA,1,3,98,NA,3,4,4,4,4,4,2,1,1,2,1,2,2,2,2,1,2,1,2,2,1,4,NA,4,NA,3,1,4,6,5,5,1,2,3
3,1,1,1,1,5,5,NA,1,1,1,1,3,3,3,3,1,3,6,NA,4,4,4,4,5,5,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,3,NA,5,5,NA,5,6,5,6,7,1,1,3
3,4,3,1,2,5,3,NA,1,1,1,1,3,3,6,4,2,3,6,NA,4,0,3,1,5,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,3,NA,5,4,NA,1,3,5,2,6,2,1,3
4,3,1,1,1,5,5,NA,1,2,1,1,2,NA,6,3,1,3,10,NA,4,3,3,3,5,3,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,NA,5,5,NA,1,3,4,5,6,1,1,3
